"pos","last","first","numfirstlast","firstlast","index","player.id","pC","pL","pR","pD","pG"
"D","Nemeth","Patrik","37 PATRIK NEMETH","Patrik Nemeth",731,713,0,0,0,1,0
"R","Ritchie","Brett","25 BRETT RITCHIE","Brett Ritchie",732,714,0,0,1,0,0
"D","Bartkowski","Matt","43 MATT BARTKOWSKI","Matt Bartkowski",733,715,0,0,0,2,0
"C","Campbell","Gregory","11 GREGORY CAMPBELL","Gregory Campbell",734,716,2,0,0,0,0
"R","Conner","Chris","23 CHRIS CONNER","Chris Conner",735,717,0,0,2,0,0
"R","Pastrnak","David","88 DAVID PASTRNAK","David Pastrnak",736,718,0,0,2,0,0
"C","Talbot","Max","25 MAX TALBOT","Max Talbot",737,719,1,0,0,0,0
"D","Ruhwedel","Chad","5 CHAD RUHWEDEL","Chad Ruhwedel",738,720,0,0,0,1,0
"G","Kuemper","Darcy","35 DARCY KUEMPER","Darcy Kuemper",739,721,0,0,0,0,1
"R","Niederreiter","Nino","22 NINO NIEDERREITER","Nino Niederreiter",740,722,0,0,1,0,0
"D","Spurgeon","Jared","46 JARED SPURGEON","Jared Spurgeon",741,723,0,0,0,1,0
"R","Halischuk","Matt","15 MATT HALISCHUK","Matt Halischuk",742,724,0,0,1,0,0
"C","O'dell","Eric","58 ERIC O'DELL","Eric O'dell",744,725,1,0,0,0,0
"R","Stempniak","Lee","20 LEE STEMPNIAK","Lee Stempniak",745,726,0,0,1,0,0
"C","Boucher","Reid","12 REID BOUCHER","Reid Boucher",747,727,1,0,0,0,0
"D","Fraser","Mark","32 MARK FRASER","Mark Fraser",748,728,0,0,0,1,0
"L","Arvidsson","Viktor","38 VIKTOR ARVIDSSON","Viktor Arvidsson",749,729,0,1,0,0,0
"D","Ellis","Ryan","4 RYAN ELLIS","Ryan Ellis",750,730,0,0,0,1,0
"G","Rinne","Pekka","35 PEKKA RINNE","Pekka Rinne",752,731,0,0,0,0,1
"L","Stalberg","Viktor","25 VIKTOR STALBERG","Viktor Stalberg",754,732,0,1,0,0,0
"D","Biega","Danny","41 DANNY BIEGA","Danny Biega",757,733,0,0,0,1,0
"D","Murphy","Ryan","7 RYAN MURPHY","Ryan Murphy",758,734,0,0,0,1,0
"L","Terry","Chris","25 CHRIS TERRY","Chris Terry",759,735,0,1,0,0,0
"L","De la rose","Jacob","25 JACOB DE LA ROSE","Jacob De la rose",760,736,0,1,0,0,0
"C","Smith","Zack","15 ZACK SMITH","Zack Smith",763,737,1,0,0,0,0
"R","Cleary","Daniel","11 DANIEL CLEARY","Daniel Cleary",764,738,0,0,1,0,0
"R","Galiev","Stanislav","49 STANISLAV GALIEV","Stanislav Galiev",766,739,0,0,2,0,0
"C","Krejci","David","46 DAVID KREJCI","David Krejci",767,740,1,0,0,0,0
"D","Trotman","Zach","62 ZACH TROTMAN","Zach Trotman",768,741,0,0,0,1,0
