"pos","last","first","numfirstlast","firstlast","index","player.id","pC","pL","pR","pD","pG"
"R","Vey","Linden","7 LINDEN VEY","Linden Vey",182,182,0,0,2,0,0
"R","Vrbata","Radim","17 RADIM VRBATA","Radim Vrbata",183,183,0,0,2,0,0
"D","Weber","Yannick","6 YANNICK WEBER","Yannick Weber",184,184,0,0,0,2,0
"L","Abdelkader","Justin","8 JUSTIN ABDELKADER","Justin Abdelkader",185,185,0,2,0,0,0
"C","Andersson","Joakim","18 JOAKIM ANDERSSON","Joakim Andersson",186,186,3,0,0,0,0
"C","Datsyuk","Pavel","13 PAVEL DATSYUK","Pavel Datsyuk",187,187,3,0,0,0,0
"D","Dekeyser","Danny","65 DANNY DEKEYSER","Danny Dekeyser",188,188,0,0,0,3,0
"D","Ericsson","Jonathan","52 JONATHAN ERICSSON","Jonathan Ericsson",189,189,0,0,0,3,0
"C","Glendening","Luke","41 LUKE GLENDENING","Luke Glendening",190,190,3,0,0,0,0
"G","Gustavsson","Jonas","50 JONAS GUSTAVSSON","Jonas Gustavsson",191,191,0,0,0,0,1
"C","Helm","Darren","43 DARREN HELM","Darren Helm",192,192,3,0,0,0,0
"G","Howard","Jimmy","35 JIMMY HOWARD","Jimmy Howard",193,193,0,0,0,0,3
"R","Jurco","Tomas","26 TOMAS JURCO","Tomas Jurco",194,194,0,0,1,0,0
"D","Kindl","Jakub","4 JAKUB KINDL","Jakub Kindl",195,195,0,0,0,1,0
"D","Kronwall","Niklas","55 NIKLAS KRONWALL","Niklas Kronwall",196,196,0,0,0,3,0
"L","Miller","Drew","20 DREW MILLER","Drew Miller",197,197,0,3,0,0,0
"C","Nestrasil","Andrej","49 ANDREJ NESTRASIL","Andrej Nestrasil",198,198,1,0,0,0,0
"C","Nyquist","Gustav","14 GUSTAV NYQUIST","Gustav Nyquist",199,199,3,0,0,0,0
"D","Quincey","Kyle","27 KYLE QUINCEY","Kyle Quincey",200,200,0,0,0,3,0
"C","Sheahan","Riley","15 RILEY SHEAHAN","Riley Sheahan",201,201,3,0,0,0,0
"D","Smith","Brendan","2 BRENDAN SMITH","Brendan Smith",202,202,0,0,0,3,0
"C","Tatar","Tomas","21 TOMAS TATAR","Tomas Tatar",203,203,3,0,0,0,0
"R","Wilson","Tom","43 TOM WILSON","Tom Wilson",204,204,0,0,67,0,0
"L","Zetterberg","Henrik","40 HENRIK ZETTERBERG","Henrik Zetterberg",205,205,0,3,0,0,0
"D","Barberio","Mark","8 MARK BARBERIO","Mark Barberio",206,206,0,0,0,2,0
"G","Bishop","Ben","30 BEN BISHOP","Ben Bishop",207,207,0,0,0,0,3
"C","Boyle","Brian","11 BRIAN BOYLE","Brian Boyle",208,208,3,0,0,0,0
"D","Brewer","Eric","2 ERIC BREWER","Eric Brewer",209,209,0,0,0,1,0
"R","Brown","J.t.","23 J.T. BROWN","J.t. Brown",210,210,0,0,3,0,0
"R","Callahan","Ryan","24 RYAN CALLAHAN","Ryan Callahan",211,211,0,0,3,0,0
"D","Carle","Matt","25 MATTHEW CARLE","Matt Carle",212,212,0,0,0,3,0
"L","Drouin","Jonathan","27 JONATHAN DROUIN","Jonathan Drouin",213,213,0,2,0,0,0
"C","Filppula","Valtteri","51 VALTTERI FILPPULA","Valtteri Filppula",214,214,3,0,0,0,0
"D","Garrison","Jason","5 JASON GARRISON","Jason Garrison",215,215,0,0,0,3,0
"D","Gudas","Radko","7 RADKO GUDAS","Radko Gudas",216,216,0,0,0,2,0
"C","Johnson","Tyler","9 TYLER JOHNSON","Tyler Johnson",217,217,3,0,0,0,0
"C","Killorn","Alex","17 ALEX KILLORN","Alex Killorn",218,218,3,0,0,0,0
"R","Kucherov","Nikita","86 NIKITA KUCHEROV","Nikita Kucherov",219,219,0,0,3,0,0
"L","Morrow","Brenden","10 BRENDEN MORROW","Brenden Morrow",220,220,0,3,0,0,0
"G","Nabokov","Evgeni","20 EVGENI NABOKOV","Evgeni Nabokov",221,221,0,0,0,0,3
"C","Namestnikov","Vladislav","90 VLADISLAV NAMESTNIKOV","Vladislav Namestnikov",222,222,1,0,0,0,0
"L","Palat","Ondrej","18 ONDREJ PALAT","Ondrej Palat",223,223,0,2,0,0,0
"C","Stamkos","Steven","91 STEVEN STAMKOS","Steven Stamkos",224,224,3,0,0,0,0
"D","Stralman","Anton","6 ANTON STRALMAN","Anton Stralman",225,225,0,0,0,3,0
"L","Boedker","Mikkel","89 MIKKEL BOEDKER","Mikkel Boedker",226,226,0,2,0,0,0
"R","Crombeen","B.j.","44 B.J. CROMBEEN","B.j. Crombeen",227,227,0,0,2,0,0
"R","Doan","Shane","19 SHANE DOAN","Shane Doan",228,228,0,0,2,0,0
"G","Dubnyk","Devan","40 DEVAN DUBNYK","Devan Dubnyk",229,229,0,0,0,0,4
"D","Ekman-Larsson","Oliver","23 OLIVER EKMAN-LARSSON","Oliver Ekman-Larsson",230,230,0,0,0,2,0
"R","Erat","Martin","10 MARTIN ERAT","Martin Erat",231,231,0,0,2,0,0
"C","Gagner","Sam","9 SAM GAGNER","Sam Gagner",232,232,2,0,0,0,0
"C","Hanzal","Martin","11 MARTIN HANZAL","Martin Hanzal",233,233,1,0,0,0,0
"C","Hodgman","Justin","12 JUSTIN HODGMAN","Justin Hodgman",234,234,1,0,0,0,0
"L","Korpikoski","Lauri","28 LAURI KORPIKOSKI","Lauri Korpikoski",235,235,0,2,0,0,0
"C","McMillan","Brandon","22 BRANDON MCMILLAN","Brandon McMillan",236,236,2,0,0,0,0
"D","Michalek","Zbynek","4 ZBYNEK MICHALEK","Zbynek Michalek",237,237,0,0,0,2,0
"D","Murphy","Connor","5 CONNOR MURPHY","Connor Murphy",238,238,0,0,0,2,0
"C","Rieder","Tobias","8 TOBIAS RIEDER","Tobias Rieder",239,239,2,0,0,0,0
"G","Smith","Mike","41 MIKE SMITH","Mike Smith",240,240,0,0,0,0,2
"D","Stone","Michael","26 MICHAEL STONE","Michael Stone",241,241,0,0,0,2,0
"D","Summers","Chris","20 CHRIS SUMMERS","Chris Summers",242,242,0,0,0,2,0
"C","Vermette","Antoine","50 ANTOINE VERMETTE","Antoine Vermette",243,243,2,0,0,0,0
"C","Vitale","Joe","14 JOE VITALE","Joe Vitale",244,244,2,0,0,0,0
"D","Yandle","Keith","3 KEITH YANDLE","Keith Yandle",245,245,0,0,0,2,0
"L","Baertschi","Sven","27 SVEN BAERTSCHI","Sven Baertschi",246,246,0,1,0,0,0
"C","Granlund","Markus","60 MARKUS GRANLUND","Markus Granlund",247,247,1,0,0,0,0
"R","Jones","David","19 DAVID JONES","David Jones",248,248,0,0,1,0,0
"R","Setoguchi","Devin","22 DEVIN SETOGUCHI","Devin Setoguchi",249,249,0,0,1,0,0
"L","Bickell","Bryan","29 BRYAN BICKELL","Bryan Bickell",250,250,0,2,0,0,0
"G","Crawford","Corey","50 COREY CRAWFORD","Corey Crawford",251,251,0,0,0,0,2
"D","Hjalmarsson","Niklas","4 NIKLAS HJALMARSSON","Niklas Hjalmarsson",252,252,0,0,0,2,0
"R","Hossa","Marian","81 MARIAN HOSSA","Marian Hossa",253,253,0,0,2,0,0
"R","Kane","Patrick","88 PATRICK KANE","Patrick Kane",254,254,0,0,2,0,0
"D","Keith","Duncan","2 DUNCAN KEITH","Duncan Keith",255,255,0,0,0,2,0
"C","Kruger","Marcus","16 MARCUS KRUGER","Marcus Kruger",256,256,2,0,0,0,0
"L","Morin","Jeremy","11 JEREMY MORIN","Jeremy Morin",257,257,0,1,0,0,0
"D","Oduya","Johnny","27 JOHNNY ODUYA","Johnny Oduya",258,258,0,0,0,2,0
"G","Raanta","Antti","31 ANTTI RAANTA","Antti Raanta",259,259,0,0,0,0,2
"C","Regin","Peter","12 PETER REGIN","Peter Regin",260,260,1,0,0,0,0
"C","Richards","Brad","91 BRAD RICHARDS","Brad Richards",261,261,2,0,0,0,0
"D","Rundblad","David","5 DAVID RUNDBLAD","David Rundblad",262,262,0,0,0,2,0
"L","Saad","Brandon","20 BRANDON SAAD","Brandon Saad",263,263,0,2,0,0,0
"D","Seabrook","Brent","7 BRENT SEABROOK","Brent Seabrook",264,264,0,0,0,2,0
"C","Shaw","Andrew","65 ANDREW SHAW","Andrew Shaw",265,265,2,0,0,0,0
"R","Smith","Ben","28 BEN SMITH","Ben Smith",266,266,0,0,2,0,0
"C","Toews","Jonathan","19 JONATHAN TOEWS","Jonathan Toews",267,267,2,0,0,0,0
"D","van riemsdyk","Trevor","57 TREVOR VAN RIEMSDYK","Trevor van riemsdyk",268,268,0,0,0,1,0
"R","Versteeg","Kris","23 KRIS VERSTEEG","Kris Versteeg",269,269,0,0,2,0,0
"D","Bellemore","Brett","73 BRETT BELLEMORE","Brett Bellemore",270,270,0,0,0,3,0
"L","Boychuk","Zach","22 ZACH BOYCHUK","Zach Boychuk",271,271,0,2,0,0,0
"R","Dwyer","Patrick","39 PATRICK DWYER","Patrick Dwyer",272,272,0,0,4,0,0
"D","Faulk","Justin","27 JUSTIN FAULK","Justin Faulk",273,273,0,0,0,4,0
"C","Gerbe","Nathan","14 NATHAN GERBE","Nathan Gerbe",274,274,4,0,0,0,0
"D","Hainsey","Ron","65 RON HAINSEY","Ron Hainsey",275,275,0,0,0,4,0
"D","Harrison","Jay","44 JAY HARRISON","Jay Harrison",276,276,0,0,0,2,0
"G","Khudobin","Anton","31 ANTON KHUDOBIN","Anton Khudobin",277,277,0,0,0,0,4
"D","Liles","John-Michael","26 JOHN-MICHAEL LILES","John-Michael Liles",278,278,0,0,0,4,0
"C","Lindholm","Elias","16 ELIAS LINDHOLM","Elias Lindholm",279,279,4,0,0,0,0
"C","Malone","Brad","24 BRAD MALONE","Brad Malone",280,280,3,0,0,0,0
"C","McClement","Jay","18 JAY MCCLEMENT","Jay McClement",281,281,4,0,0,0,0
"C","Nash","Riley","20 RILEY NASH","Riley Nash",282,282,3,0,0,0,0
"C","Rask","Victor","49 VICTOR RASK","Victor Rask",283,283,4,0,0,0,0
"D","Sekera","Andrej","4 ANDREJ SEKERA","Andrej Sekera",284,284,0,0,0,1,0
"R","Semin","Alexander","28 ALEXANDER SEMIN","Alexander Semin",285,285,0,0,4,0,0
"C","Skinner","Jeff","53 JEFF SKINNER","Jeff Skinner",286,286,4,0,0,0,0
"C","Staal","Eric","12 ERIC STAAL","Eric Staal",287,287,4,0,0,0,0
"C","Tlusty","Jiri","19 JIRI TLUSTY","Jiri Tlusty",288,288,2,0,0,0,0
"G","Ward","Cam","30 CAM WARD","Cam Ward",289,289,0,0,0,0,3
"R","Atkinson","Cam","13 CAM ATKINSON","Cam Atkinson",290,290,0,0,5,0,0
"R","Boll","Jared","40 JARED BOLL","Jared Boll",291,291,0,0,5,0,0
"C","Chaput","Michael","39 MICHAEL CHAPUT","Michael Chaput",292,292,3,0,0,0,0
"R","Cracknell","Adam","32 ADAM CRACKNELL","Adam Cracknell",293,293,0,0,1,0,0
"D","Erixon","Tim","20 TIM ERIXON","Tim Erixon",294,294,0,0,0,1,0
"L","Foligno","Nick","71 NICK FOLIGNO","Nick Foligno",295,295,0,5,0,0,0
"G","Forsberg","Anton","31 ANTON FORSBERG","Anton Forsberg",296,296,0,0,0,0,2
"C","Gibbons","Brian","23 BRIAN GIBBONS","Brian Gibbons",297,297,4,0,0,0,0
"L","Hartnell","Scott","43 SCOTT HARTNELL","Scott Hartnell",298,298,0,4,0,0,0
"C","Jenner","Boone","38 BOONE JENNER","Boone Jenner",299,299,3,0,0,0,0
"C","Johansen","Ryan","19 RYAN JOHANSEN","Ryan Johansen",300,300,5,0,0,0,0
"G","McElhinney","Curtis","30 CURTIS MCELHINNEY","Curtis McElhinney",301,301,0,0,0,0,5
"D","Prout","Dalton","47 DALTON PROUT","Dalton Prout",302,302,0,0,0,5,0
"D","Savard","David","58 DAVID SAVARD","David Savard",303,303,0,0,0,5,0
"D","St-Denis","Frederic","28 FREDERIC ST-DENIS","Frederic St-Denis",304,304,0,0,0,1,0
"R","Tropp","Corey","26 COREY TROPP","Corey Tropp",305,305,0,0,5,0,0
"C","Tyrell","Dana","34 DANA TYRELL","Dana Tyrell",306,306,1,0,0,0,0
"D","Tyutin","Fedor","51 FEDOR TYUTIN","Fedor Tyutin",307,307,0,0,0,4,0
"C","Wennberg","Alexander","41 ALEXANDER WENNBERG","Alexander Wennberg",308,308,3,0,0,0,0
"D","Wisniewski","James","21 JAMES WISNIEWSKI","James Wisniewski",309,309,0,0,0,4,0
"R","Bernier","Steve","18 STEVE BERNIER","Steve Bernier",310,310,0,0,4,0,0
"D","Helgeson","Seth","25 SETH HELGESON","Seth Helgeson",311,311,0,0,0,3,0
"C","Josefson","Jacob","16 JACOB JOSEFSON","Jacob Josefson",312,312,2,0,0,0,0
"G","Kinkaid","Keith","1 KEITH KINKAID","Keith Kinkaid",313,313,0,0,0,0,3
"D","Larsson","Adam","5 ADAM LARSSON","Adam Larsson",314,314,0,0,0,2,0
"G","Allen","Jake","34 JAKE ALLEN","Jake Allen",315,315,0,0,0,0,2
"R","Backes","David","42 DAVID BACKES","David Backes",316,316,0,0,2,0,0
"C","Berglund","Patrik","21 PATRIK BERGLUND","Patrik Berglund",317,317,1,0,0,0,0
"D","Bouwmeester","Jay","19 JAY BOUWMEESTER","Jay Bouwmeester",318,318,0,0,0,2,0
"D","Cole","Ian","28 IAN COLE","Ian Cole",319,319,0,0,0,2,0
"G","Elliott","Brian","1 BRIAN ELLIOTT","Brian Elliott",320,320,0,0,0,0,2
"D","Gunnarsson","Carl","4 CARL GUNNARSSON","Carl Gunnarsson",321,321,0,0,0,2,0
"D","Jackman","Barret","5 BARRET JACKMAN","Barret Jackman",322,322,0,0,0,2,0
"C","Lapierre","Maxim","40 MAXIM LAPIERRE","Maxim Lapierre",323,323,4,0,0,0,0
"C","Lehtera","Jori","12 JORI LEHTERA","Jori Lehtera",324,324,1,0,0,0,0
"C","Lindstrom","Joakim","10 JOAKIM LINDSTROM","Joakim Lindstrom",325,325,2,0,0,0,0
"C","Oshie","T.j.","74 T.J. OSHIE","T.j. Oshie",326,326,2,0,0,0,0
"C","Ott","Steve","9 STEVE OTT","Steve Ott",327,327,2,0,0,0,0
"D","Pietrangelo","Alex","27 ALEX PIETRANGELO","Alex Pietrangelo",328,328,0,0,0,2,0
"R","Reaves","Ryan","75 RYAN REAVES","Ryan Reaves",329,329,0,0,2,0,0
"C","Schwartz","Jaden","17 JADEN SCHWARTZ","Jaden Schwartz",330,330,2,0,0,0,0
"D","Shattenkirk","Kevin","22 KEVIN SHATTENKIRK","Kevin Shattenkirk",331,331,0,0,0,2,0
"C","Stastny","Paul","26 PAUL STASTNY","Paul Stastny",332,332,2,0,0,0,0
"L","Steen","Alex","20 ALEXANDER STEEN","Alex Steen",333,333,0,2,0,0,0
"R","Tarasenko","Vladimir","91 VLADIMIR TARASENKO","Vladimir Tarasenko",334,334,0,0,2,0,0
"C","Chipchura","Kyle","24 KYLE CHIPCHURA","Kyle Chipchura",335,335,1,0,0,0,0
"L","Lessio","Lucas","38 LUCAS LESSIO","Lucas Lessio",336,336,0,1,0,0,0
"D","Barrie","Tyson","4 TYSON BARRIE","Tyson Barrie",337,337,0,0,0,2,0
"G","Berra","Reto","20 RETO BERRA","Reto Berra",338,338,0,0,0,0,1
"C","Briere","Daniel","48 DANIEL BRIERE","Daniel Briere",339,339,2,0,0,0,0
"R","Cliche","Marc-Andre","24 MARC-ANDRE CLICHE","Marc-Andre Cliche",340,340,0,0,2,0,0
"C","Duchene","Matt","9 MATT DUCHENE","Matt Duchene",341,341,2,0,0,0,0
"R","Everberg","Dennis","45 DENNIS EVERBERG","Dennis Everberg",342,342,0,0,1,0,0
"D","Guenin","Nathan","5 NATE GUENIN","Nathan Guenin",343,343,0,0,0,2,0
"D","Hejda","Jan","8 JAN HEJDA","Jan Hejda",344,344,0,0,0,2,0
"D","Holden","Nick","2 NICK HOLDEN","Nick Holden",345,345,0,0,0,2,0
"R","Iginla","Jarome","12 JAROME IGINLA","Jarome Iginla",346,346,0,0,2,0,0
"D","Johnson","Erik","6 ERIK JOHNSON","Erik Johnson",347,347,0,0,0,2,0
"L","Landeskog","Gabriel","92 GABRIEL LANDESKOG","Gabriel Landeskog",348,348,0,2,0,0,0
"C","MacKinnon","Nathan","29 NATHAN MACKINNON","Nathan MacKinnon",349,349,2,0,0,0,0
"L","McLeod","Cody","55 CODY MCLEOD","Cody McLeod",350,350,0,2,0,0,0
"C","Mitchell","John","7 JOHN MITCHELL","John Mitchell",351,351,2,0,0,0,0
"C","O'reilly","Ryan","90 RYAN O'REILLY","Ryan O'reilly",352,352,2,0,0,0,0
"G","Pickard","Calvin","31 CALVIN PICKARD","Calvin Pickard",353,353,0,0,0,0,2
"D","Redmond","Zach","22 ZACH REDMOND","Zach Redmond",354,354,0,0,0,1,0
"C","Talbot","Maxime","25 MAXIME TALBOT","Maxime Talbot",355,355,2,0,0,0,0
"L","Tanguay","Alex","40 ALEX TANGUAY","Alex Tanguay",356,356,0,2,0,0,0
"L","Deslauriers","Nicolas","44 NICOLAS DESLAURIERS","Nicolas Deslauriers",357,357,0,3,0,0,0
"C","Ennis","Tyler","63 TYLER ENNIS","Tyler Ennis",358,358,3,0,0,0,0
"G","Enroth","Jhonas","1 JHONAS ENROTH","Jhonas Enroth",359,359,0,0,0,0,2
"C","Flynn","Brian","65 BRIAN FLYNN","Brian Flynn",360,360,1,0,0,0,0
"L","Foligno","Marcus","82 MARCUS FOLIGNO","Marcus Foligno",361,361,0,3,0,0,0
"R","Gionta","Brian","12 BRIAN GIONTA","Brian Gionta",362,362,0,0,3,0,0
"C","Girgensons","Zemgus","28 ZEMGUS GIRGENSONS","Zemgus Girgensons",363,363,1,0,0,0,0
"C","Hodgson","Cody","19 CODY HODGSON","Cody Hodgson",364,364,3,0,0,0,0
"G","Lieuwen","Nathan","50 NATHAN LIEUWEN","Nathan Lieuwen",365,365,0,0,0,0,1
"C","McCormick","Cody","8 CODY MCCORMICK","Cody McCormick",366,366,1,0,0,0,0
"D","Meszaros","Andrej","41 ANDREJ MESZAROS","Andrej Meszaros",367,367,0,0,0,2,0
"C","Mitchell","Torrey","17 TORREY MITCHELL","Torrey Mitchell",368,368,2,0,0,0,0
"L","Moulson","Matt","26 MATT MOULSON","Matt Moulson",369,369,0,3,0,0,0
"D","Myers","Tyler","57 TYLER MYERS","Tyler Myers",370,370,0,0,0,3,0
"D","Ristolainen","Rasmus","55 RASMUS RISTOLAINEN","Rasmus Ristolainen",371,371,0,0,0,3,0
"R","Stafford","Drew","21 DREW STAFFORD","Drew Stafford",372,372,0,0,1,0,0
"R","Stewart","Chris","80 CHRIS STEWART","Chris Stewart",373,373,0,0,1,0,0
"D","Strachan","Tyson","24 TYSON STRACHAN","Tyson Strachan",374,374,0,0,0,3,0
"D","Weber","Mike","6 MIKE WEBER","Mike Weber",375,375,0,0,0,3,0
"D","Zadorov","Nikita","51 NIKITA ZADOROV","Nikita Zadorov",376,376,0,0,0,2,0
"C","Bailey","Josh","12 JOSH BAILEY","Josh Bailey",377,377,4,0,0,0,0
"D","Boychuk","Johnny","55 JOHNNY BOYCHUK","Johnny Boychuk",378,378,0,0,0,3,0
"C","Cizikas","Casey","53 CASEY CIZIKAS","Casey Cizikas",379,379,3,0,0,0,0
"R","Clutterbuck","Cal","15 CAL CLUTTERBUCK","Cal Clutterbuck",380,380,0,0,4,0,0
"D","De haan","Calvin","44 CALVIN DE HAAN","Calvin De haan",381,381,0,0,0,4,0
"C","Grabovski","Mikhail","84 MIKHAIL GRABOVSKI","Mikhail Grabovski",382,382,3,0,0,0,0
"G","Halak","Jaroslav","41 JAROSLAV HALAK","Jaroslav Halak",383,383,0,0,0,0,4
"D","Hamonic","Travis","3 TRAVIS HAMONIC","Travis Hamonic",384,384,0,0,0,4,0
"D","Hickey","Thomas","14 THOMAS HICKEY","Thomas Hickey",385,385,0,0,0,4,0
"G","Johnson","Chad","30 CHAD JOHNSON","Chad Johnson",386,386,0,0,0,0,4
"L","Kulemin","Nikolay","86 NIKOLAY KULEMIN","Nikolay Kulemin",387,387,0,4,0,0,0
"D","Leddy","Nick","2 NICK LEDDY","Nick Leddy",388,388,0,0,0,4,0
"C","Lee","Anders","27 ANDERS LEE","Anders Lee",389,389,4,0,0,0,0
"L","Martin","Matt","17 MATT MARTIN","Matt Martin",390,390,0,4,0,0,0
"C","Nelson","Brock","29 BROCK NELSON","Brock Nelson",391,391,4,0,0,0,0
"C","Nielsen","Frans","51 FRANS NIELSEN","Frans Nielsen",392,392,4,0,0,0,0
"R","Okposo","Kyle","21 KYLE OKPOSO","Kyle Okposo",393,393,0,0,3,0,0
"C","Strome","Ryan","18 RYAN STROME","Ryan Strome",394,394,4,0,0,0,0
"C","Tavares","John","91 JOHN TAVARES","John Tavares",395,395,4,0,0,0,0
"D","Visnovsky","Lubomir","11 LUBOMIR VISNOVSKY","Lubomir Visnovsky",396,396,0,0,0,3,0
"D","Strait","Brian","37 BRIAN STRAIT","Brian Strait",397,397,0,0,0,2,0
"G","Bernier","Jonathan","45 JONATHAN BERNIER","Jonathan Bernier",398,398,0,0,0,0,3
"L","Booth","David","20 DAVID BOOTH","David Booth",399,399,0,3,0,0,0
"C","Bozak","Tyler","42 TYLER BOZAK","Tyler Bozak",400,400,3,0,0,0,0
"R","Clarkson","David","71 DAVID CLARKSON","David Clarkson",401,401,0,0,2,0,0
"D","Franson","Cody","4 CODY FRANSON","Cody Franson",402,402,0,0,0,2,0
"D","Gardiner","Jake","51 JAKE GARDINER","Jake Gardiner",403,403,0,0,0,3,0
"C","Holland","Peter","24 PETER HOLLAND","Peter Holland",404,404,2,0,0,0,0
"D","Holzer","Korbinian","55 KORBINIAN HOLZER","Korbinian Holzer",405,405,0,0,0,2,0
"C","Kadri","Nazem","43 NAZEM KADRI","Nazem Kadri",406,406,3,0,0,0,0
"C","Kessel","Phil","81 PHIL KESSEL","Phil Kessel",407,407,3,0,0,0,0
"C","Komarov","Leo","47 LEO KOMAROV","Leo Komarov",408,408,3,0,0,0,0
"R","Lupul","Joffrey","19 JOFFREY LUPUL","Joffrey Lupul",409,409,0,0,2,0,0
"D","Phaneuf","Dion","3 DION PHANEUF","Dion Phaneuf",410,410,0,0,0,3,0
"G","Reimer","James","34 JAMES REIMER","James Reimer",411,411,0,0,0,0,3
"D","Rielly","Morgan","44 MORGAN RIELLY","Morgan Rielly",412,412,0,0,0,3,0
"D","Robidas","Stephane","12 STEPHANE ROBIDAS","Stephane Robidas",413,413,0,0,0,3,0
"C","Santorelli","Mike","25 MIKE SANTORELLI","Mike Santorelli",414,414,2,0,0,0,0
"C","Smith","Trevor","23 TREVOR SMITH","Trevor Smith",415,415,2,0,0,0,0
"L","van riemsdyk","James","21 JAMES VAN RIEMSDYK","James van riemsdyk",416,416,0,3,0,0,0
"C","Winnik","Daniel","26 DANIEL WINNIK","Daniel Winnik",417,417,2,0,0,0,0
"C","Horvat","Bo","53 BO HORVAT","Bo Horvat",418,418,1,0,0,0,0
"D","Stanton","Ryan","18 RYAN STANTON","Ryan Stanton",419,419,0,0,0,1,0
"D","Gleason","Tim","6 TIM GLEASON","Tim Gleason",420,420,0,0,0,19,0
"D","Jordan","Michal","47 MICHAL JORDAN","Michal Jordan",421,421,0,0,0,2,0
"G","MacIntyre","Drew","35 DREW MACINTYRE","Drew MacIntyre",422,422,0,0,0,0,1
"C","Gomez","Scott","21 SCOTT GOMEZ","Scott Gomez",424,423,3,0,0,0,0
"R","Sislo","Mike","32 MIKE SISLO","Mike Sislo",425,424,0,0,2,0,0
"R","Connolly","Brett","14 BRETT CONNOLLY","Brett Connolly",426,425,0,0,3,0,0
"D","Hedman","Victor","77 VICTOR HEDMAN","Victor Hedman",427,426,0,0,0,2,0
"C","Paquette","Cedric","13 CEDRIC PAQUETTE","Cedric Paquette",428,427,2,0,0,0,0
"D","Sustr","Andrej","62 ANDREJ SUSTR","Andrej Sustr",429,428,0,0,0,2,0
"G","Bobrovsky","Sergei","72 SERGEI BOBROVSKY","Sergei Bobrovsky",430,429,0,0,0,0,3
"L","Calvert","Matt","11 MATT CALVERT","Matt Calvert",431,430,0,3,0,0,0
"D","Connauton","Kevin","4 KEVIN CONNAUTON","Kevin Connauton",432,431,0,0,0,3,0
"C","Dubinsky","Brandon","17 BRANDON DUBINSKY","Brandon Dubinsky",433,432,3,0,0,0,0
"D","Johnson","Jack","7 JACK JOHNSON","Jack Johnson",434,433,0,0,0,4,0
"D","Leopold","Jordan","3 JORDAN LEOPOLD","Jordan Leopold",435,434,0,0,0,1,0
"R","Skille","Jack","10 JACK SKILLE","Jack Skille",436,435,0,0,2,0,0
"C","Bolland","Dave","63 DAVE BOLLAND","Dave Bolland",437,436,2,0,0,0,0
"R","Hayes","Jimmy","12 JIMMY HAYES","Jimmy Hayes",438,437,0,0,2,0,0
"D","Harrold","Peter","10 PETER HARROLD","Peter Harrold",440,438,0,0,0,1,0
"C","Sestito","Tim","12 TIM SESTITO","Tim Sestito",441,439,1,0,0,0,0
"G","Anderson","Craig","41 CRAIG ANDERSON","Craig Anderson",442,440,0,0,0,0,2
"D","Borowiecki","Mark","74 MARK BOROWIECKI","Mark Borowiecki",443,441,0,0,0,2,0
"D","Ceci","Cody","5 CODY CECI","Cody Ceci",444,442,0,0,0,3,0
"R","Chiasson","Alex","90 ALEX CHIASSON","Alex Chiasson",445,443,0,0,2,0,0
"R","Condra","Erik","22 ERIK CONDRA","Erik Condra",446,444,0,0,3,0,0
"D","Cowen","Jared","2 JARED COWEN","Jared Cowen",447,445,0,0,0,2,0
"C","Greening","Colin","14 COLIN GREENING","Colin Greening",448,446,1,0,0,0,0
"D","Gryba","Eric","62 ERIC GRYBA","Eric Gryba",449,447,0,0,0,3,0
"C","Hoffman","Mike","68 MIKE HOFFMAN","Mike Hoffman",450,448,3,0,0,0,0
"D","Karlsson","Erik","65 ERIK KARLSSON","Erik Karlsson",451,449,0,0,0,3,0
"C","Legwand","David","17 DAVID LEGWAND","David Legwand",452,450,3,0,0,0,0
"G","Lehner","Robin","40 ROBIN LEHNER","Robin Lehner",453,451,0,0,0,0,2
"L","MacArthur","Clarke","16 CLARKE MACARTHUR","Clarke MacArthur",454,452,0,3,0,0,0
"L","Michalek","Milan","9 MILAN MICHALEK","Milan Michalek",455,453,0,2,0,0,0
"C","Pageau","Jean-Gabriel","44 JEAN-GABRIEL PAGEAU","Jean-Gabriel Pageau",456,454,3,0,0,0,0
"R","Ryan","Bobby","6 BOBBY RYAN","Bobby Ryan",457,455,0,0,3,0,0
"R","Stone","Mark","61 MARK STONE","Mark Stone",458,456,0,0,3,0,0
"C","Turris","Kyle","7 KYLE TURRIS","Kyle Turris",459,457,3,0,0,0,0
"D","Wiercioch","Patrick","46 PATRICK WIERCIOCH","Patrick Wiercioch",460,458,0,0,0,2,0
"C","Zibanejad","Mika","93 MIKA ZIBANEJAD","Mika Zibanejad",461,459,3,0,0,0,0
"D","Boyle","Dan","22 DAN BOYLE","Dan Boyle",462,460,0,0,0,4,0
"C","Brassard","Derick","16 DERICK BRASSARD","Derick Brassard",463,461,4,0,0,0,0
"R","Fast","Jesper","19 JESPER FAST","Jesper Fast",464,462,0,0,4,0,0
"D","Girardi","Daniel","5 DAN GIRARDI","Daniel Girardi",465,463,0,0,0,4,0
"L","Glass","Tanner","15 TANNER GLASS","Tanner Glass",466,464,0,4,0,0,0
"L","Hagelin","Carl","62 CARL HAGELIN","Carl Hagelin",467,465,0,4,0,0,0
"R","Hayes","Kevin","13 KEVIN HAYES","Kevin Hayes",468,466,0,0,4,0,0
"D","Hunwick","Matt","44 MATT HUNWICK","Matt Hunwick",469,467,0,0,0,2,0
